OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
41286,2016,CA,USF,LPF,SHERPA ,001643,2016/06/15 00:00:00+00,2016/07/11 00:00:00+00,7474,7465.75146484,1,44587072.1189234,50070.3397093557
41287,2016,CA,USF,LPF,REY,002809,2016/08/18 00:00:00+00,2016/09/15 00:00:00+00,32606,32580.43554688,1,194972416.780621,167261.430551648
41295,2016,CA,USF,KNF,GAP,007501,2016/08/27 00:00:00+00,,30696,33011.44140625,1,240998600.77359,250892.876609018
41428,2015,CA,USF,SNF,WILLOW,00001689,2015/07/25 00:00:00+00,2015/08/20 00:00:00+00,5701,5701.34130859,1,36505304.7273534,47458.7602765159
41478,2017,CA,CDF,SLU,ALAMO,00007624,2017/07/06 00:00:00+00,2017/07/20 00:00:00+00,26678,28834.171875,1,174173285.52061,117396.899748338
41577,2017,CA,CCO,ORC,CANYON II,17110494,2017/10/09 00:00:00+00,2017/10/17 00:00:00+00,9217,9198.02832031,1,54071908.8064886,56494.6997950529
41627,2017,CA,CDF,MMU,DETWILER,00014474,2017/07/16 00:00:00+00,2017/08/31 00:00:00+00,,81826.2734375,1,528043838.367942,243283.931816571
41656,2017,CA,CDF,LNU,NUNS,00010049,2017/10/08 00:00:00+00,2017/10/31 00:00:00+00,55797,55798.19140625,1,368001231.280939,305483.09595718
41660,2017,CA,CDF,LNU,TUBBS,00010104,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,36701,36701.984375,1,243263474.144085,167697.410771885
41661,2017,CA,CDF,LNU,POCKET,00010104,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,17359,17359.328125,1,115747129.025799,143951.044920182
41662,2017,CA,CDF,LNU,ATLAS,00010105,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,51624,51624.65625,1,340432031.808813,217876.45102061
41704,2017,CA,CCO,LAC,CREEK,00362189,2017/12/05 00:00:00+00,2017/12/05 00:00:00+00,15619,15619.14648438,1,92857036.0754816,71990.6476739006
41705,2017,CA,CCO,LAC,RYE,00362441,2017/12/05 00:00:00+00,2017/12/13 00:00:00+00,6049,6047.71875,1,36056780.6262954,43088.972676652
41741,2017,CA,BLM,NOD,R-4 PARSNIP,00005180,2017/08/30 00:00:00+00,2017/09/15 00:00:00+00,0,18601.98046875,1,131169145.052987,94536.6430737674
41747,2017,CA,BLM,NOD,LONG VALLEY,00030366,2017/07/11 00:00:00+00,2017/07/27 00:00:00+00,0,83581.4140625,1,577257450.156124,254095.862514251
41758,2017,CA,BLM,NOD,MUD,00005152,2017/08/29 00:00:00+00,2017/09/11 00:00:00+00,0,6036.06494141,1,42209652.6940346,30699.5418986299
41778,2017,CA,BLM,CND,SLINKARD,00001478,2017/08/29 00:00:00+00,2017/09/21 00:00:00+00,0,8923.49511719,1,59312745.7864207,44057.8064339332
41787,2017,CA,CDF,RRU,MANZANITA,00078840,2017/06/26 00:00:00+00,2017/06/30 00:00:00+00,6309,6303.65869141,1,37095308.3218423,33443.4784674892
41795,2017,CA,CDF,FKU,GARZA,00009755,2017/07/09 00:00:00+00,2017/07/25 00:00:00+00,,48886.6640625,1,302589005.41855,115590.242855748
