OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
39080,2011,CA,USF,SQF,LION,00002087,2011/07/08 00:00:00+00,2011/11/08 00:00:00+00,20500,20681.5390625,1,129117383.128942,101561.799622486
39081,2011,CA,USF,SQF,MOTOR,00002117,2011/08/25 00:00:00+00,2011/10/01 00:00:00+00,5230.31720425,5230.33837891,1,33848175.1565329,33502.1635508491
39164,2012,CA,BLM,CDD,JAWBONE COMPLEX,00011542,2012/08/10 00:00:00+00,2012/09/05 00:00:00+00,12018,12015.20800781,1,73128011.6269244,90661.3449119565
39166,2012,CA,BLM,CDD,LIKLEY,00003916,2012/09/05 00:00:00+00,2012/10/21 00:00:00+00,9838,9965.59765625,1,71209131.1874738,137698.78984631
39175,2012,CA,BLM,CDD,STWEART,00008747,2012/08/13 00:00:00+00,2012/08/20 00:00:00+00,22829,10630.22558594,1,61517360.0813812,48025.585055351
39179,2012,CA,BLM,CDD,WILSON,00008747,2012/08/13 00:00:00+00,2012/08/20 00:00:00+00,22829,11667.13769531,1,67597875.1616508,61279.9771963629
39184,2012,CA,BLM,CND,INDIAN,00000942,2012/08/08 00:00:00+00,2012/08/24 00:00:00+00,12575,12575.23828125,1,81981634.496514,76775.9757097939
39212,2012,CA,USF,KNF,GOFF,00005659,2012/08/05 00:00:00+00,2012/10/01 00:00:00+00,22283,22266.9453125,1,162751189.553076,167264.328606719
39264,2012,CA,CDF,LNU,SIXTEEN_COMPLEX,00007072,2012/09/04 00:00:00+00,2012/09/15 00:00:00+00,17944,17942.1484375,1,120391381.97726,84244.2018484343
39268,2012,CA,CDF,LNU,WALKER,00006334,2012/08/12 00:00:00+00,2012/08/24 00:00:00+00,7934,5102.58251953,1,34261006.6106352,31923.3775131276
39292,2012,CA,USF,MNF,MILL,00001109,2012/07/07 00:00:00+00,2012/07/18 00:00:00+00,29052,29525.45117188,1,199893955.060433,77995.283212542
39293,2012,CA,USF,MNF,NORTH PASS,00001446,2012/06/18 00:00:00+00,2012/09/27 00:00:00+00,41983,41812.51953125,1,287729525.390555,111126.693965244
39299,2012,CA,CDF,MVU,BANNER FIRE,00005400,2012/05/24 00:00:00+00,2012/05/29 00:00:00+00,5132,5320.11572266,1,30731176.3276214,43905.6024866097
39327,2012,CA,BLM,NOD,RUSH,00003490,2012/08/12 00:00:00+00,2012/10/22 00:00:00+00,315577,315511.5,1,2218061438.27043,546507.002846647
39335,2012,CA,USF,PNF,CHIPS,00001001,2012/07/28 00:00:00+00,2012/08/31 00:00:00+00,75431,76349.7109375,1,528590181.58389,204185.095814946
39356,2012,CA,USF,SHF,BAGLEY,00002744,2012/08/18 00:00:00+00,2012/10/29 00:00:00+00,46011,46040.1484375,1,327793840.784216,117009.570731884
39424,2012,CA,CDF,TGU,PONDEROSA,00006696,2012/08/18 00:00:00+00,2012/10/12 00:00:00+00,27676,27670.37890625,1,193418516.771159,102054.412977763
39430,2012,OR,USF,FNF,BARRY POINT ,00120680,2012/08/06 00:00:00+00,2012/09/17 00:00:00+00,93071,92944.53125,1,681902775.813948,249671.910051225
39439,2013,CA,USF,ANF,POWERHOUSE,00002297,2013/05/30 00:00:00+00,2013/12/18 00:00:00+00,30268,30267.69140625,1,181466415.323797,145512.966857856
39452,2013,CA,CDF,BDF,MOUNTAIN,00000057,2013/07/15 00:00:00+00,2013/07/30 00:00:00+00,27505,27523.66601563,1,161435507.04545,95986.4733405013
39469,2013,CA,CDF,BTU,PANTHER,00005648,2013/05/01 00:00:00+00,2013/12/09 00:00:00+00,6896,6896.19824219,1,47851691.8091023,48466.5493839445
39474,2013,CA,BLM,CCD,RED ROCK,00030217,2013/07/01 00:00:00+00,2013/07/05 00:00:00+00,,5365.24462891,1,36965185.2139333,38833.5307889911
39497,2013,CA,USF,KNF,SALMON COMPLEX,00005561,2013/07/31 00:00:00+00,2013/08/25 00:00:00+00,14785,14785.87597656,1,106172732.563088,89990.971269082
39587,2013,CA,CDF,MVU,CHARIOT,00014084,2013/07/06 00:00:00+00,2013/07/15 00:00:00+00,7055,7084.67285156,1,40807511.6855089,53154.6994724849
39626,2013,CA,CDF,RRU,SILVER,00070781,2013/08/07 00:00:00+00,2013/08/13 00:00:00+00,19907,20308.453125,1,119546073.563679,98489.4752809718
39638,2013,CA,CDF,SHU,CLOVER,00008265,2013/09/09 00:00:00+00,2013/09/15 00:00:00+00,8073,8075.77441406,1,56508890.3606591,45335.9226587693
39655,2013,CA,USF,SNF,ASPEN,00000010,2013/07/22 00:00:00+00,2013/09/08 00:00:00+00,22992,22937.52148438,1,146988394.219852,95975.0236433222
39665,2013,CA,USF,SRF,BUTLER,00000024,2013/07/31 00:00:00+00,2013/10/01 00:00:00+00,22445,22444.86132813,1,160953803.01909,144909.35767211
39666,2013,CA,USF,SRF,CORRAL,00000044,2013/08/10 00:00:00+00,2013/10/02 00:00:00+00,12531,12541.41503906,1,89271126.5827252,132983.896229682
39674,2013,CA,USF,STF,RIM,00000006,2013/08/17 00:00:00+00,2013/10/24 00:00:00+00,255858,256175.53125,1,1667948766.79537,432168.67806399
39681,2013,CA,CDF,TGU,DEER,00006768,2013/08/23 00:00:00+00,2013/08/29 00:00:00+00,11429,11428.75292969,1,79081221.0134954,48992.7104671166
39683,2013,CA,USF,TNF,AMERICAN,00000049,2013/08/10 00:00:00+00,2013/10/08 00:00:00+00,27740,27430.52148438,1,184785600.244408,81139.6744425007
39691,2013,CA,CCO,VNC,SPRINGS,,2013/05/02 00:00:00+00,2013/05/08 00:00:00+00,24251,24059.85742188,1,142450445.98477,143152.633022168
39694,2013,NV,USF,HTF,SPRING PEAK,00030475,2013/08/18 00:00:00+00,2013/08/27 00:00:00+00,,14267.09277344,1,93756761.0055978,64610.1608312945
39711,2014,CA,CDF,LMU,DAY,003472,2014/07/30 00:00:00+00,2014/08/13 00:00:00+00,13153,13150.66601563,1,94236517.8725591,69253.8232299704
