,date,columns,crs
122,2005-12-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
123,2005-12-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
124,2005-12-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
125,2005-12-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
126,2005-12-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
127,2005-12-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
128,2005-12-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
129,2005-12-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
130,2005-12-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
131,2005-12-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
132,2005-12-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
133,2005-12-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
134,2005-12-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
135,2005-12-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
136,2005-12-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
137,2005-12-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
138,2005-12-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
139,2005-12-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
140,2005-12-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
141,2005-12-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
142,2005-12-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
143,2005-12-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
144,2005-12-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
145,2005-12-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
146,2005-12-31 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
147,2006-01-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
148,2006-01-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
149,2006-01-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
150,2006-01-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
151,2006-01-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
152,2006-01-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
153,2006-01-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
154,2006-01-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
155,2006-01-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
156,2006-01-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
157,2006-01-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
158,2006-01-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
159,2006-01-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
160,2006-01-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
161,2006-01-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
162,2006-01-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
163,2006-01-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
164,2006-01-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
165,2006-01-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
166,2006-01-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
167,2006-01-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
168,2006-01-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
169,2006-01-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
170,2006-01-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
171,2006-01-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
172,2006-01-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
173,2006-01-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
174,2006-01-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
175,2006-01-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
176,2006-01-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
177,2006-01-31 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
178,2006-02-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
179,2006-02-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
180,2006-02-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
181,2006-02-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
182,2006-02-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
183,2006-02-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
184,2006-02-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
185,2006-02-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
186,2006-02-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
187,2006-02-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
